ID,Name,PubChem CID,CAS number,canonical SMILES,Taste,Class taste,Reference_(cod)/[pp],taste_word_count,taste_has_multiple,smiles_length,num_carbons,num_oxygens,num_nitrogens,num_sulfurs,num_halogens,num_rings,num_aromatic,num_double_bonds,num_triple_bonds,num_brackets,num_branches,C_O_ratio,N_C_ratio,ring_aromatic_ratio,heteroatom_ratio
2138,Hydroxytricyclocolupone,126558484,*,CC(C)C(=O)C1=C(O)C2(CC=C(C)C)CC3C(C)(C)C(CC3(C1=O)C2=O)C(C)(C)O,Bitter,Bitterness,Dagan-Wiener2019_(1091),1,False,63,25,5,0,0,0,6,0,5,0,0,22,4.166666666666667,0.0,0.0,0.078125
2139,Hydroxytricyclolupone,126550261,*,CC(C)CC(=O)C1=C(O)C2(CC=C(C)C)CC3C(C)(C)C(CC3(C1=O)C2=O)C(C)(C)O,Bitter,Bitterness,Dagan-Wiener2019_(1092),1,False,64,26,5,0,0,0,6,0,5,0,0,22,4.333333333333333,0.0,0.0,0.07692307692307693
2140,Hydroxyzine dihydrochloride,91513,2192-20-3,Cl.Cl.OCCOCCN1CCN(CC1)C(c1ccccc1)c1ccc(cc1)Cl,Bitter,Bitterness,Dagan-Wiener2019_(253),1,False,45,9,2,2,0,3,6,12,0,0,0,6,3.0,0.2,1.7142857142857142,0.08695652173913043
2141,Hypoxanthine,135398638,68-94-0,O=C1N=CNC2=C1NC=N2,Bitter,Bitterness,Dagan-Wiener2019_(1157),1,False,18,5,1,4,0,0,4,0,4,0,0,0,2.5,0.6666666666666666,0.0,0.2631578947368421
2142,IA,7009577,24787-73-3,CCC(C)C(N)C(=O)NC(C)C(O)=O,Bitter,Bitterness,Charoenkwan2020; Kim2006,1,False,26,9,3,2,0,0,0,0,2,0,0,10,2.25,0.2,0.0,0.18518518518518517
2143,Ichangin,441801,10171-61-6,CC(C)(O)C1CC(=O)C2(C)C(CCC3(C)C(OC(=O)C4OC234)C2=COC=C2)C21COC(=O)CC2O,Bitter,Bitterness,Dagan-Wiener2017,1,False,70,26,9,0,0,0,12,0,5,0,0,18,2.6,0.0,0.0,0.1267605633802817
2144,ID,14304554,*,CCC(C)C(N)C(=O)NC(CC(O)=O)C(O)=O,Bitter,Bitterness,Charoenkwan2020; Kim2006,1,False,32,10,5,2,0,0,0,0,3,0,0,12,1.6666666666666667,0.18181818181818182,0.0,0.21212121212121213
2145,IE,7009625,42516-53-0,CCC(C)C(N)C(=O)NC(CCC(O)=O)C(O)=O,Bitter,Bitterness,Charoenkwan2020; Kim2006,1,False,33,11,5,2,0,0,0,0,3,0,0,12,1.8333333333333333,0.16666666666666666,0.0,0.20588235294117646
2146,IF,7009596,22951-98-0,CCC(C)C(N)C(=O)NC(Cc1ccccc1)C(O)=O,Bitter,Bitterness,Charoenkwan2020; Kim2006,1,False,34,9,3,2,0,0,2,6,2,0,0,10,2.25,0.2,2.0,0.14285714285714285
2147,IG,6992869,868-28-0,CCC(C)C(N)C(=O)NCC(O)=O,Bitter,Bitterness,Charoenkwan2020; Kim2006,1,False,23,8,3,2,0,0,0,0,2,0,0,8,2.0,0.2222222222222222,0.0,0.20833333333333334
2148,IGTLAGA,*,*,CCC(C)C(N)C(=O)NCC(=O)NC(C(C)O)C(=O)NC(CC(C)C)C(=O)NC(C)C(=O)NCC(=O)NC(C)C(O)=O,Bitter,Bitterness,Charoenkwan2020,1,False,79,26,9,7,0,0,0,0,7,0,0,30,2.6,0.25925925925925924,0.0,0.2
2149,II,7010568,42537-99-5,CCC(C)C(N)C(=O)NC(C(C)CC)C(O)=O,Bitter,Bitterness,Charoenkwan2020; Kim2006,1,False,31,12,3,2,0,0,0,0,2,0,0,12,3.0,0.15384615384615385,0.0,0.15625
2150,IK,14299177,*,CCC(C)C(N)C(=O)NC(CCCCN)C(O)=O,Bitter,Bitterness,Charoenkwan2020; Kim2006,1,False,30,12,3,3,0,0,0,0,2,0,0,10,3.0,0.23076923076923078,0.0,0.1935483870967742
2151,IL,7019083,26462-22-6,CCC(C)C(N)C(=O)NC(CC(C)C)C(O)=O,Bitter,Bitterness,Charoenkwan2020; Kim2006,1,False,31,12,3,2,0,0,0,0,2,0,0,12,3.0,0.15384615384615385,0.0,0.15625
2152,Imidazole,795,288-32-4,N1C=CN=C1,Bitter,Bitterness,Dagan-Wiener2019_(1298); Shallenberger1993_[282],1,False,9,3,0,2,0,0,2,0,2,0,0,0,3.0,0.5,0.0,0.2
2153,Imipramine N-Oxide hydrochloride,88286,20438-98-6,Cl.CN(C)CCC[N+]1([O-])c2ccccc2CCc2ccccc12,Very bitter,Bitterness,Dagan-Wiener2019_(255),2,False,41,7,1,2,0,1,6,12,0,0,4,4,3.5,0.25,1.7142857142857142,0.07142857142857142
2154,Improsulfan tosylat,153709,32784-82-0,Cc1ccc(cc1)S(O)(=O)=O.CS(=O)(=O)OCCCNCCCOS(C)(=O)=O,Bitter,Bitterness,Dagan-Wiener2019_(257),1,False,51,9,9,1,3,0,2,6,6,0,0,14,0.9,0.1,2.0,0.25
2155,IN,4414300,59652-59-4,CCC(C)C(N)C(=O)NC(CC(N)=O)C(O)=O,Bitter,Bitterness,Charoenkwan2020; Kim2006,1,False,32,10,4,3,0,0,0,0,3,0,0,12,2.0,0.2727272727272727,0.0,0.21212121212121213
2156,Inaperisone hydrochloride,147524,118230-97-0,Cl.CCc1ccc(cc1)C(=O)C(C)CN1CCCC1,Bitter,Bitterness,Dagan-Wiener2019_(264),1,False,32,10,1,1,0,1,4,6,1,0,0,6,5.0,0.09090909090909091,1.2,0.06060606060606061
2157,Inosine,135398641,58-63-9,OCC1OC(C(O)C1O)N1C=NC2=C1NC=NC2=O,Bitter,Bitterness,Dagan-Wiener2019_(1158),1,False,33,10,5,4,0,0,6,0,4,0,0,4,1.6666666666666667,0.36363636363636365,0.0,0.2647058823529412
2158,Iodinated glycerol,21852,5634-39-9,CC(I)C1OCC(CO)O1,Bitter,Bitterness,Dagan-Wiener2019_(266),1,False,16,6,3,0,0,1,2,0,0,0,0,4,1.5,0.0,0.0,0.17647058823529413
2159,IP,444876,37462-92-3,CCC(C)C(N)C(=O)N1CCCC1C(O)=O,Bitter,Bitterness,Charoenkwan2020; Kim2006,1,False,28,11,3,2,0,0,2,0,2,0,0,8,2.75,0.16666666666666666,0.0,0.1724137931034483
2160,Ipodate sodium salt ,23671932,1221-56-3,[Na+].CN(C)C=Nc1c(cc(c(c1I)CCC([O-])=O)I)I,Bitter,Bitterness,Dagan-Wiener2019_(267),1,False,42,6,2,2,0,3,2,6,2,0,4,10,2.0,0.2857142857142857,2.0,0.09302325581395349
2161,IQ,7020102,59652-60-7,CCC(C)C(N)C(=O)NC(CCC(N)=O)C(O)=O,Bitter,Bitterness,Charoenkwan2020; Kim2006,1,False,33,11,4,3,0,0,0,0,3,0,0,12,2.2,0.25,0.0,0.20588235294117646
2162,IS,7021816,6403-14-1,CCC(C)C(N)C(=O)NC(CO)C(O)=O,Bitter,Bitterness,Charoenkwan2020; Kim2006,1,False,27,9,4,2,0,0,0,0,2,0,0,10,1.8,0.2,0.0,0.21428571428571427
2163,Isoamberboin,14589063,30825-69-5,CC1C2C(CC1=O)C(=C)CC(O)C1C(C)C(=O)OC21,Bitter,Bitterness,Cravotto2005_(15),1,False,38,15,4,0,0,0,6,0,3,0,0,10,3.0,0.0,0.0,0.10256410256410256
2164,Isobutyl acetate,8038,110-19-0,CC(C)COC(C)=O,Slightly bitter,Bitterness,Dagan-Wiener2019_(721),2,False,13,6,2,0,0,0,0,0,1,0,0,4,2.0,0.0,0.0,0.14285714285714285
2165,Isobutyl propionate,10895,540-42-1,CCC(=O)OCC(C)C,Bitter,Bitterness,Dagan-Wiener2019_(728),1,False,14,7,2,0,0,0,0,0,1,0,0,4,2.3333333333333335,0.0,0.0,0.13333333333333333
